category,role,description,url
premium-saas,card_1,"Feature or integration showcase 1",
premium-saas,card_2,"Feature or integration showcase 2",
premium-saas,card_3,"Feature or integration showcase 3",
premium-saas,card_4,"Feature or integration showcase 4",
upscale-dining,hero_1,"Chef plating, kitchen steam, hands at work, dramatic",
upscale-dining,hero_2,"Dining room ambiance, candlelight, table setting",
upscale-dining,lifestyle,"Guest savoring food, sommelier pouring, the experience",
upscale-dining,product_1,"Signature dish hero shot, artful plating",
upscale-dining,product_2,"Different course or drink presentation",
upscale-dining,detail,"Sauce drizzle, ingredient macro, plate edge, garnish detail",
upscale-dining,card_1,"Menu highlight 1",
upscale-dining,card_2,"Menu highlight 2",
upscale-dining,card_3,"Menu highlight 3",
upscale-dining,card_4,"Menu highlight 4",
photography-art,hero_1,"Artist at work, camera in hand or brush on canvas",
photography-art,hero_2,"Gallery wall, exhibition space, studio environment",
photography-art,lifestyle,"Creative process moment, developing, editing, painting",
photography-art,product_1,"Single artwork or photograph hero, presented clean",
photography-art,product_2,"Different piece or series",
photography-art,detail,"Brush stroke macro, film grain, canvas texture, lens detail",
photography-art,card_1,"Portfolio piece 1",
photography-art,card_2,"Portfolio piece 2",
photography-art,card_3,"Portfolio piece 3",
photography-art,card_4,"Portfolio piece 4"
